# logM_lo logM_hi N Mave
1.368570441575707974e+01 1.380141919496922576e+01 6.507841048931236146e+05 5.522019815740600000e+13
1.380141919496922576e+01 1.391713397418137177e+01 4.781489984671696438e+05 7.212445758417200000e+13
1.391713397418137177e+01 1.403284875339351778e+01 3.606726180102349026e+05 9.402655211564900000e+13
1.403284875339351778e+01 1.414856353260566380e+01 2.646885823093050858e+05 1.227279020869350000e+14
1.414856353260566380e+01 1.426427831181780981e+01 1.910546686876732565e+05 1.600569862644330000e+14
1.426427831181780981e+01 1.437999309102995582e+01 1.356220688132154173e+05 2.089005558239970000e+14
1.437999309102995582e+01 1.449570787024210183e+01 9.281353325366535864e+04 2.725965243327070000e+14
1.449570787024210183e+01 1.461142264945424785e+01 6.177719699610533280e+04 3.555838814568880000e+14
1.461142264945424785e+01 1.472713742866639386e+01 3.968703580316873558e+04 4.636340426178060000e+14
1.472713742866639386e+01 1.484285220787853987e+01 2.451292048702951070e+04 6.042202059281090000e+14
1.484285220787853987e+01 1.495856698709068588e+01 1.446270806018927760e+04 7.875203141252340000e+14
1.495856698709068588e+01 1.507428176630283190e+01 7.738150393836443982e+03 1.026499943005181000e+15
1.507428176630283190e+01 1.518999654551497791e+01 3.960559930072372481e+03 1.336963521376170000e+15
1.518999654551497791e+01 1.530571132472712392e+01 1.674594817929019428e+03 1.746845215311004000e+15
1.530571132472712392e+01 1.542142610393926994e+01 6.868705718193041321e+02 2.260274927113702000e+15
1.542142610393926994e+01 1.553714088315141595e+01 2.522607200693574612e+02 2.936256349206349000e+15
1.553714088315141595e+01 1.565285566236356196e+01 6.205237380886300258e+01 3.807156451612903000e+15
1.565285566236356196e+01 1.576857044157570797e+01 1.400950197990001023e+01 5.039435714285714000e+15
1.576857044157570797e+01 1.588428522078785399e+01 1.000597227571315528e+00 5.937000000000000000e+15
