# logM_lo logM_hi N Mave
1.374859957268677491e+01 1.386116959405243598e+01 5.991204128948479192e+05 6.356199901591900000e+13
1.386116959405243598e+01 1.397373961541809706e+01 4.317546870003928780e+05 8.240748902936700000e+13
1.397373961541809706e+01 1.408630963678375814e+01 3.206003036628258415e+05 1.066991149790130000e+14
1.408630963678375814e+01 1.419887965814941921e+01 2.262026439372137247e+05 1.382622526257350000e+14
1.419887965814941921e+01 1.431144967951508207e+01 1.595625366731595423e+05 1.789404960551140000e+14
1.431144967951508207e+01 1.442401970088074314e+01 1.083495837987046543e+05 2.318042414906780000e+14
1.442401970088074314e+01 1.453658972224640422e+01 7.081797268348502985e+04 3.003075074289450000e+14
1.453658972224640422e+01 1.464915974361206530e+01 4.449809131621610868e+04 3.888462984474220000e+14
1.464915974361206530e+01 1.476172976497772638e+01 2.674348997940084519e+04 5.029145272529200000e+14
1.476172976497772638e+01 1.487429978634338745e+01 1.526718440615170948e+04 6.511205424063110000e+14
1.487429978634338745e+01 1.498686980770904853e+01 7.914256900234589011e+03 8.420561660329530000e+14
1.498686980770904853e+01 1.509943982907470961e+01 3.851661464606946993e+03 1.088630869338886000e+15
1.509943982907470961e+01 1.521200985044037068e+01 1.600280543624348411e+03 1.410062680025047000e+15
1.521200985044037068e+01 1.532457987180603176e+01 6.571042897424338207e+02 1.819507012195122000e+15
1.532457987180603176e+01 1.543714989317169284e+01 2.162989029810682382e+02 2.338393055555556000e+15
1.543714989317169284e+01 1.554971991453735569e+01 5.306017081247392042e+01 3.013041509433962000e+15
1.554971991453735569e+01 1.566228993590301677e+01 1.501374739146778658e+01 3.963860000000000000e+15
1.566228993590301677e+01 1.577485995726867785e+01 2.001572049566856748e+00 4.826000000000000000e+15
