# logM_lo logM_hi N Mave
1.368570441575707974e+01 1.380141919496922576e+01 2.163911754096887889e+05 5.501580286746800000e+13
1.380141919496922576e+01 1.391713397418137177e+01 1.338158945855586207e+05 7.184476541677400000e+13
1.391713397418137177e+01 1.403284875339351778e+01 8.226703114547356381e+04 9.353882987311100000e+13
1.403284875339351778e+01 1.414856353260566380e+01 4.761887633562228439e+04 1.220116646467220000e+14
1.414856353260566380e+01 1.426427831181780981e+01 2.624168241897120606e+04 1.590510562783890000e+14
1.426427831181780981e+01 1.437999309102995582e+01 1.339343100803264133e+04 2.071584402288460000e+14
1.437999309102995582e+01 1.449570787024210183e+01 6.442817691225448471e+03 2.700211765625000000e+14
1.449570787024210183e+01 1.461142264945424785e+01 2.847379886369555607e+03 3.523486016949150000e+14
1.461142264945424785e+01 1.472713742866639386e+01 1.060670330897747363e+03 4.577790056818180000e+14
1.472713742866639386e+01 1.484285220787853987e+01 3.552774085500318506e+02 5.935285310734460000e+14
1.484285220787853987e+01 1.495856698709068588e+01 1.063097834618028372e+02 7.772183962264150000e+14
1.495856698709068588e+01 1.507428176630283190e+01 2.606078056469324267e+01 1.033975384615384000e+15
1.507428176630283190e+01 1.518999654551497791e+01 6.011522110413851649e+00 1.330000000000000000e+15
