# logM_lo logM_hi N Mave
1.373833171482028526e+01 1.385141512907927108e+01 1.527911642368960311e+05 6.182179494033800000e+13
1.385141512907927108e+01 1.396449854333825691e+01 9.136873901514043973e+04 8.019873815606000000e+13
1.396449854333825691e+01 1.407758195759724273e+01 5.276020925735064520e+04 1.039685156117650000e+14
1.407758195759724273e+01 1.419066537185622856e+01 2.839318887551872103e+04 1.345614677557420000e+14
1.419066537185622856e+01 1.430374878611521439e+01 1.487272728489359724e+04 1.746114089673910000e+14
1.430374878611521439e+01 1.441683220037420021e+01 6.928152097467227577e+03 2.261250480349340000e+14
1.441683220037420021e+01 1.452991561463318604e+01 3.065051288290099365e+03 2.921365440210250000e+14
1.452991561463318604e+01 1.464299902889217186e+01 1.150436291574558254e+03 3.800760227272720000e+14
1.464299902889217186e+01 1.475608244315115769e+01 3.998458226552066321e+02 4.864553517587940000e+14
1.475608244315115769e+01 1.486916585741014174e+01 1.294884569879865523e+02 6.301002325581390000e+14
1.486916585741014174e+01 1.498224927166912934e+01 1.805549800382563319e+01 8.192716666666660000e+14
1.498224927166912934e+01 1.509533268592811339e+01 8.020738101109953888e+00 1.022768750000000000e+15
1.509533268592811339e+01 1.520841610018709922e+01 2.004158860174893864e+00 1.355900000000000000e+15
