# logM_lo logM_hi N Mave
1.372009239124886726e+01 1.383408777168642345e+01 5.897751179103609174e+05 5.951749056905000000e+13
1.383408777168642345e+01 1.394808315212398142e+01 4.397004212131195818e+05 7.749465699896400000e+13
1.394808315212398142e+01 1.406207853256153761e+01 3.132035413605583599e+05 1.008546159692110000e+14
1.406207853256153761e+01 1.417607391299909381e+01 2.253781532107349485e+05 1.309418814866060000e+14
1.417607391299909381e+01 1.429006929343665000e+01 1.574614427558041934e+05 1.700815890776570000e+14
1.429006929343665000e+01 1.440406467387420619e+01 1.080111238445991476e+05 2.209187807838080000e+14
1.440406467387420619e+01 1.451806005431176416e+01 7.057369749491903349e+04 2.871149967188790000e+14
1.451806005431176416e+01 1.463205543474932036e+01 4.521336066074176779e+04 3.730571887023240000e+14
1.463205543474932036e+01 1.474605081518687655e+01 2.715066628906257029e+04 4.845574756742750000e+14
1.474605081518687655e+01 1.486004619562443452e+01 1.539424863334752445e+04 6.295174481679490000e+14
1.486004619562443452e+01 1.497404157606199071e+01 8.406051541026043196e+03 8.172479930795840000e+14
1.497404157606199071e+01 1.508803695649954690e+01 4.120018148285619645e+03 1.060861523114355000e+15
1.508803695649954690e+01 1.520203233693710310e+01 1.869710900124041927e+03 1.376462593783494000e+15
1.520203233693710310e+01 1.531602771737465929e+01 7.011405125053028087e+02 1.776579000000000000e+15
1.531602771737465929e+01 1.543002309781221726e+01 2.303069280494599980e+02 2.293941739130435000e+15
1.543002309781221726e+01 1.554401847824977345e+01 6.206784909551454632e+01 2.957569354838709000e+15
1.554401847824977345e+01 1.565801385868732964e+01 1.301150494712567607e+01 3.882361538461539000e+15
1.565801385868732964e+01 1.577200923912488761e+01 1.000757568086808158e+00 4.737900000000000000e+15
