# logM_lo logM_hi N Mave
1.289929913088384339e+01 1.310433417433965175e+01 2.131490000000000000e+05 9.912928176064000000e+12
1.310433417433965175e+01 1.330936921779545834e+01 1.218670000000000000e+05 1.589645106550500000e+13
1.330936921779545834e+01 1.351440426125126670e+01 6.626200000000000000e+04 2.543429523708900000e+13
1.351440426125126670e+01 1.371943930470707507e+01 3.432600000000000000e+04 4.063502045097000000e+13
1.371943930470707507e+01 1.392447434816288165e+01 1.596400000000000000e+04 6.499789181909200000e+13
1.392447434816288165e+01 1.412950939161869002e+01 6.818000000000000000e+03 1.035386786447630000e+14
1.412950939161869002e+01 1.433454443507449838e+01 2.450000000000000000e+03 1.651926938775510000e+14
1.433454443507449838e+01 1.453957947853030674e+01 7.800000000000000000e+02 2.621964102564100000e+14
1.453957947853030674e+01 1.474461452198611333e+01 1.810000000000000000e+02 4.124789502762430000e+14
1.474461452198611333e+01 1.494964956544192169e+01 1.800000000000000000e+01 6.373850000000000000e+14
1.494964956544192169e+01 1.515468460889773006e+01 3.000000000000000000e+00 9.548933333333330000e+14
