# logM_lo logM_hi N Mave
1.106135247908719421e+01 1.125889837992370701e+01 5.971650014150717761e+05 1.435810918030000000e+11
1.125889837992370701e+01 1.145644428076021804e+01 3.970914867547171889e+05 2.266122779810000000e+11
1.145644428076021804e+01 1.165399018159673084e+01 2.679012464438703610e+05 3.566211395830000000e+11
1.165399018159673084e+01 1.185153608243324364e+01 1.798229575366734643e+05 5.623246354320000000e+11
1.185153608243324364e+01 1.204908198326975466e+01 1.192498566960378812e+05 8.860113790310000000e+11
1.204908198326975466e+01 1.224662788410626746e+01 7.922715333388374711e+04 1.395559752976000000e+12
1.224662788410626746e+01 1.244417378494278026e+01 5.233203562639867596e+04 2.199097247073000000e+12
1.244417378494278026e+01 1.264171968577929306e+01 3.415289182313746278e+04 3.465432975478000000e+12
1.264171968577929306e+01 1.283926558661580408e+01 2.206257171945496520e+04 5.465825123666000000e+12
1.283926558661580408e+01 1.303681148745231688e+01 1.428653397889925509e+04 8.604000966792000000e+12
1.303681148745231688e+01 1.323435738828882791e+01 8.968526710558640843e+03 1.353441068838500000e+13
1.323435738828882791e+01 1.343190328912534071e+01 5.478370542911748089e+03 2.129864006574100000e+13
1.343190328912534071e+01 1.362944918996185351e+01 3.299002607234314837e+03 3.350745360824700000e+13
1.362944918996185351e+01 1.382699509079836631e+01 1.863396725035509007e+03 5.288866076221100000e+13
1.382699509079836631e+01 1.402454099163487733e+01 1.030154661355336657e+03 8.277790000000000000e+13
1.402454099163487733e+01 1.422208689247139013e+01 5.420572785116758041e+02 1.298757011070110000e+14
1.422208689247139013e+01 1.441963279330790293e+01 2.270166891188970339e+02 2.068258149779730000e+14
1.441963279330790293e+01 1.461717869414441395e+01 1.000052693311458398e+02 3.170321000000000000e+14
1.461717869414441395e+01 1.481472459498092675e+01 2.600098721324662066e+01 4.826253846153840000e+14
1.481472459498092675e+01 1.501227049581743955e+01 7.000165100559153863e+00 8.887785714285710000e+14
1.501227049581743955e+01 1.520981639665395235e+01 1.000016241541827666e+00 1.434100000000000000e+15
