# logM_lo logM_hi N Mave
1.106135247908719421e+01 1.125889837992370701e+01 1.013372141381504334e+05 1.418992637560000000e+11
1.125889837992370701e+01 1.145644428076021804e+01 4.821680640519379085e+04 2.236391591550000000e+11
1.145644428076021804e+01 1.165399018159673084e+01 2.159496276785338705e+04 3.505183000230000000e+11
1.165399018159673084e+01 1.185153608243324364e+01 9.160374258339852531e+03 5.527521722390000000e+11
1.185153608243324364e+01 1.204908198326975466e+01 3.507451615101042080e+03 8.654248323300000000e+11
1.204908198326975466e+01 1.224662788410626746e+01 1.157303009804091062e+03 1.350280138768000000e+12
1.224662788410626746e+01 1.244417378494278026e+01 3.639527781567643387e+02 2.117355922865000000e+12
1.244417378494278026e+01 1.264171968577929306e+01 9.116679570734775950e+01 3.352617582417000000e+12
1.264171968577929306e+01 1.283926558661580408e+01 2.403103876230460756e+01 5.239225000000000000e+12
1.283926558661580408e+01 1.303681148745231688e+01 6.005430438065746834e+00 8.276666666666000000e+12
1.303681148745231688e+01 1.323435738828882791e+01 1.000716881821762660e+00 1.115800000000000000e+13
