# logM_lo logM_hi N Mave
1.106135247908719421e+01 1.125889837992370701e+01 5.661688956861648476e+05 1.436612803860000000e+11
1.125889837992370701e+01 1.145644428076021804e+01 3.804626354652027367e+05 2.266393414610000000e+11
1.145644428076021804e+01 1.165399018159673084e+01 2.589532833674051217e+05 3.569416685520000000e+11
1.165399018159673084e+01 1.185153608243324364e+01 1.761196920175119594e+05 5.623470819620000000e+11
1.185153608243324364e+01 1.204908198326975466e+01 1.181685821206008550e+05 8.855593407500000000e+11
1.204908198326975466e+01 1.224662788410626746e+01 8.010925701431460038e+04 1.396180200202000000e+12
1.224662788410626746e+01 1.244417378494278026e+01 5.374365207702160842e+04 2.198055403212000000e+12
1.244417378494278026e+01 1.264171968577929306e+01 3.593102890294746612e+04 3.467500027880000000e+12
1.264171968577929306e+01 1.283926558661580408e+01 2.388285635357907086e+04 5.463323552592000000e+12
1.283926558661580408e+01 1.303681148745231688e+01 1.588593645224520151e+04 8.604732075352000000e+12
1.303681148745231688e+01 1.323435738828882791e+01 1.035536401564959124e+04 1.358184307662500000e+13
1.323435738828882791e+01 1.343190328912534071e+01 6.646866675837023649e+03 2.138907931968600000e+13
1.343190328912534071e+01 1.362944918996185351e+01 4.250292027465174215e+03 3.349689079783400000e+13
1.362944918996185351e+01 1.382699509079836631e+01 2.662568001003525751e+03 5.275345567242600000e+13
1.382699509079836631e+01 1.402454099163487733e+01 1.558233176354550551e+03 8.312751219512100000e+13
1.402454099163487733e+01 1.422208689247139013e+01 9.491001378823229970e+02 1.301294625922020000e+14
1.422208689247139013e+01 1.441963279330790293e+01 4.900361781923593298e+02 2.057034693877550000e+14
1.441963279330790293e+01 1.461717869414441395e+01 2.290118671504026509e+02 3.238866375545850000e+14
1.461717869414441395e+01 1.481472459498092675e+01 1.240044993982519657e+02 5.115400806451610000e+14
1.481472459498092675e+01 1.501227049581743955e+01 2.100053665876794540e+01 8.019204761904750000e+14
1.501227049581743955e+01 1.520981639665395235e+01 1.200021808875773033e+01 1.241558333333333000e+15
1.520981639665395235e+01 1.540736229749046338e+01 2.000021719123028063e+00 2.403100000000000000e+15
1.540736229749046338e+01 1.560490819832697618e+01 2.000018328828923053e+00 2.987350000000000000e+15
