# logM_lo logM_hi N Mave
1.466044295625860805e+01 1.472742080844567703e+01 2.412289095767183244e+04 4.915765416471980000e+14
1.472742080844567703e+01 1.479439866063274778e+01 1.438225983870276832e+04 5.741872421142370000e+14
1.479439866063274778e+01 1.486137651281981675e+01 8.428000478734969874e+03 6.689665727415640000e+14
1.486137651281981675e+01 1.492835436500688573e+01 4.897048261853336044e+03 7.802828431983380000e+14
1.492835436500688573e+01 1.499533221719395648e+01 2.593583590728153013e+03 9.084181252446180000e+14
1.499533221719395648e+01 1.506231006938102546e+01 1.405541455118651811e+03 1.059406265320836000e+15
1.506231006938102546e+01 1.512928792156809443e+01 6.880367761035546437e+02 1.237554117647058000e+15
1.512928792156809443e+01 1.519626577375516518e+01 2.748575384038289826e+02 1.436602941176470000e+15
1.519626577375516518e+01 1.526324362594223416e+01 1.332275660989726873e+02 1.676137878787878000e+15
1.526324362594223416e+01 1.533022147812930314e+01 5.545224685164849632e+01 1.959450909090909000e+15
1.533022147812930314e+01 1.539719933031637389e+01 1.511116809478394529e+01 2.237666666666666000e+15
1.539719933031637389e+01 1.546417718250344286e+01 2.013342901587195310e+00 2.556050000000000000e+15
1.546417718250344286e+01 1.553115503469051362e+01 2.011493213383507950e+00 3.091500000000000000e+15
1.553115503469051362e+01 1.559813288687758259e+01 2.010329859259006646e+00 3.542300000000000000e+15
