# logM_lo logM_hi N Mave
1.466044295625860805e+01 1.472742080844567703e+01 5.193855254828973557e+03 4.902506707437360000e+14
1.472742080844567703e+01 1.479439866063274778e+01 2.572785611953222997e+03 5.734947776012700000e+14
1.479439866063274778e+01 1.486137651281981675e+01 1.423935556076053672e+03 6.680369577666420000e+14
1.486137651281981675e+01 1.492835436500688573e+01 6.458457931193019022e+02 7.774121889763780000e+14
1.492835436500688573e+01 1.499533221719395648e+01 3.197568810486764050e+02 9.068602222222220000e+14
1.499533221719395648e+01 1.506231006938102546e+01 1.013322477733785689e+02 1.063401300000000000e+15
1.506231006938102546e+01 1.512928792156809443e+01 3.845109239157660141e+01 1.229728947368421000e+15
1.512928792156809443e+01 1.519626577375516518e+01 1.616519124180487665e+01 1.468525000000000000e+15
1.519626577375516518e+01 1.526324362594223416e+01 7.064338545380564049e+00 1.700542857142857000e+15
1.526324362594223416e+01 1.533022147812930314e+01 1.008638034886642609e+00 1.839800000000000000e+15
