# logM_lo logM_hi N Mave
1.462318031032448040e+01 1.469202129480825647e+01 7.261629113287023210e+04 4.524201674732280000e+14
1.469202129480825647e+01 1.476086227929203254e+01 4.800285473634331720e+04 5.305971081362930000e+14
1.476086227929203254e+01 1.482970326377580861e+01 3.155457456571365401e+04 6.211138267019760000e+14
1.482970326377580861e+01 1.489854424825958468e+01 2.008597389830210159e+04 7.272338412473420000e+14
1.489854424825958468e+01 1.496738523274336075e+01 1.253828641464942848e+04 8.516317474706590000e+14
1.496738523274336075e+01 1.503622621722713681e+01 7.358999557869693490e+03 9.988118984030830000e+14
1.503622621722713681e+01 1.510506720171091288e+01 4.135215021186445483e+03 1.168525000000000000e+15
1.510506720171091288e+01 1.517390818619468895e+01 2.181020319060647580e+03 1.368417786012042000e+15
1.517390818619468895e+01 1.524274917067846502e+01 1.097803323530134094e+03 1.600437040441176000e+15
1.524274917067846502e+01 1.531159015516223931e+01 4.868450006178131275e+02 1.875095652173913000e+15
1.531159015516223931e+01 1.538043113964601716e+01 2.165079933251055593e+02 2.202340465116279000e+15
1.538043113964601716e+01 1.544927212412979145e+01 7.949211247503805566e+01 2.561030379746835000e+15
1.544927212412979145e+01 1.551811310861356752e+01 3.619646238320979847e+01 3.030558333333333000e+15
1.551811310861356752e+01 1.558695409309734359e+01 1.004850904315582305e+01 3.523190000000000000e+15
1.558695409309734359e+01 1.565579507758111966e+01 2.008718921810233482e+00 4.037550000000000000e+15
