# logM_lo logM_hi N Mave
1.462318031032448040e+01 1.469202129480825647e+01 1.141572725552407646e+05 4.527473150965240000e+14
1.469202129480825647e+01 1.476086227929203254e+01 7.901514874056655390e+04 5.310570760120500000e+14
1.476086227929203254e+01 1.482970326377580861e+01 5.462944318383321661e+04 6.215414781651650000e+14
1.482970326377580861e+01 1.489854424825958468e+01 3.661516250267584110e+04 7.276792391002500000e+14
1.489854424825958468e+01 1.496738523274336075e+01 2.421396308001095895e+04 8.524495461022630000e+14
1.496738523274336075e+01 1.503622621722713681e+01 1.520123738516447520e+04 9.984108657114290000e+14
1.503622621722713681e+01 1.510506720171091288e+01 9.267668134583111168e+03 1.170488081204977000e+15
1.510506720171091288e+01 1.517390818619468895e+01 5.339913574133664952e+03 1.368824460839954000e+15
1.517390818619468895e+01 1.524274917067846502e+01 2.913995220506736587e+03 1.602690858725761000e+15
1.524274917067846502e+01 1.531159015516223931e+01 1.496790430707104179e+03 1.879877171717171000e+15
1.531159015516223931e+01 1.538043113964601716e+01 7.291010263631083035e+02 2.190248618784530000e+15
1.538043113964601716e+01 1.544927212412979145e+01 3.129310915675065417e+02 2.572537942122186000e+15
1.544927212412979145e+01 1.551811310861356752e+01 1.447897138061861710e+02 3.013000000000000000e+15
1.551811310861356752e+01 1.558695409309734359e+01 4.622169279512825568e+01 3.553147826086957000e+15
1.558695409309734359e+01 1.565579507758111966e+01 2.209486605949975413e+01 4.094059090909090000e+15
1.565579507758111966e+01 1.572463606206489573e+01 2.007659088721909679e+00 4.763100000000000000e+15
1.572463606206489573e+01 1.579347704654867179e+01 1.003181805716942598e+00 6.035800000000000000e+15
