# logM_lo logM_hi N Mave
1.285132347156406496e+01 1.305875729798586171e+01 2.883076297145085409e+05 8.925119438668000000e+12
1.305875729798586171e+01 1.326619112440765846e+01 1.761466879251126084e+05 1.439066414683600000e+13
1.326619112440765846e+01 1.347362495082945522e+01 1.052384540472548688e+05 2.314696611394900000e+13
1.347362495082945522e+01 1.368105877725125197e+01 6.021139018567086168e+04 3.723592783037800000e+13
1.368105877725125197e+01 1.388849260367304872e+01 3.254415795781284760e+04 5.997679823447400000e+13
1.388849260367304872e+01 1.409592643009484547e+01 1.656251101283136086e+04 9.623554525024200000e+13
1.409592643009484547e+01 1.430336025651664222e+01 7.651933712712757369e+03 1.548435376739300000e+14
1.430336025651664222e+01 1.451079408293843898e+01 3.131423867622502712e+03 2.465304453700730000e+14
1.451079408293843898e+01 1.471822790936023573e+01 1.068646924492080643e+03 3.980661350844270000e+14
1.471822790936023573e+01 1.492566173578203248e+01 2.835270855194721662e+02 6.337877738515900000e+14
1.492566173578203248e+01 1.513309556220382923e+01 4.906888413612620781e+01 9.992144897959180000e+14
1.513309556220382923e+01 1.534052938862562598e+01 8.008446011637378348e+00 1.588525000000000000e+15
