# logM_lo logM_hi N Mave
1.285132347156406496e+01 1.305875729798586171e+01 2.244862730976151070e+05 8.901271496909000000e+12
1.305875729798586171e+01 1.326619112440765846e+01 1.269002197299995460e+05 1.433537490202900000e+13
1.326619112440765846e+01 1.347362495082945522e+01 6.920034843086487672e+04 2.306246296350300000e+13
1.347362495082945522e+01 1.368105877725125197e+01 3.517976123462305259e+04 3.707857184977300000e+13
1.368105877725125197e+01 1.388849260367304872e+01 1.664636008089193638e+04 5.956694229144000000e+13
1.388849260367304872e+01 1.409592643009484547e+01 6.996372154361439243e+03 9.552590979492300000e+13
1.409592643009484547e+01 1.430336025651664222e+01 2.518833009592478902e+03 1.527996219657770000e+14
1.430336025651664222e+01 1.451079408293843898e+01 7.712408365887328046e+02 2.437520649350640000e+14
1.451079408293843898e+01 1.471822790936023573e+01 1.832037311248081721e+02 3.914269945355190000e+14
1.471822790936023573e+01 1.492566173578203248e+01 1.901471219321651063e+01 6.232373684210520000e+14
1.492566173578203248e+01 1.513309556220382923e+01 4.002121674901833792e+00 1.012117500000000000e+15
