# logM_lo logM_hi N Mave
1.287063739964689013e+01 1.307710552966454642e+01 3.144697292008639779e+05 9.325012892232000000e+12
1.307710552966454642e+01 1.328357365968220094e+01 1.974058532603852218e+05 1.501398870914400000e+13
1.328357365968220094e+01 1.349004178969985723e+01 1.214683967819590325e+05 2.411268645384300000e+13
1.349004178969985723e+01 1.369650991971751175e+01 7.301605750339150836e+04 3.877222535094200000e+13
1.369650991971751175e+01 1.390297804973516804e+01 4.163916922103581601e+04 6.221030898658700000e+13
1.390297804973516804e+01 1.410944617975282256e+01 2.306179613231250187e+04 9.985682263130300000e+13
1.410944617975282256e+01 1.431591430977047885e+01 1.143603322875266895e+04 1.602658691260430000e+14
1.431591430977047885e+01 1.452238243978813337e+01 5.252577071829690794e+03 2.555554479465130000e+14
1.452238243978813337e+01 1.472885056980578966e+01 2.066174565940137654e+03 4.087685735080050000e+14
1.472885056980578966e+01 1.493531869982344418e+01 7.073277416109991691e+02 6.522809206798860000e+14
1.493531869982344418e+01 1.514178682984110047e+01 1.822592328829023813e+02 1.022710769230769000e+15
1.514178682984110047e+01 1.534825495985875676e+01 2.102210310132372229e+01 1.669052380952381000e+15
1.534825495985875676e+01 1.555472308987641128e+01 1.000827695626752778e+00 2.463100000000000000e+15
