# logM_lo logM_hi N Mave
1.283040526587273078e+01 1.303888500257909477e+01 2.294299184420245292e+05 8.493211064677000000e+12
1.303888500257909477e+01 1.324736473928545699e+01 1.300889421482905454e+05 1.373199450583900000e+13
1.324736473928545699e+01 1.345584447599182099e+01 7.164604263834784797e+04 2.214765932712100000e+13
1.345584447599182099e+01 1.366432421269818498e+01 3.682355532004924316e+04 3.562977837555900000e+13
1.366432421269818498e+01 1.387280394940454897e+01 1.754944543241091742e+04 5.733364118322800000e+13
1.387280394940454897e+01 1.408128368611091119e+01 7.419942691542406465e+03 9.234485683297100000e+13
1.408128368611091119e+01 1.428976342281727518e+01 2.794332671167328954e+03 1.487224874191220000e+14
1.428976342281727518e+01 1.449824315952363918e+01 8.467957597692321770e+02 2.380562796208530000e+14
1.449824315952363918e+01 1.470672289623000140e+01 1.904692451340712864e+02 3.826523684210520000e+14
1.470672289623000140e+01 1.491520263293636539e+01 2.905429480443217827e+01 5.988931034482750000e+14
