# logM_lo logM_hi N Mave
1.288243022985050246e+01 1.308830871835797716e+01 2.096391135554021166e+05 9.547821175581000000e+12
1.308830871835797716e+01 1.329418720686545186e+01 1.168636014357977547e+05 1.532431433360500000e+13
1.329418720686545186e+01 1.350006569537292656e+01 6.289415269855824590e+04 2.456469021573200000e+13
1.350006569537292656e+01 1.370594418388040125e+01 3.126170137173012699e+04 3.933120253857800000e+13
1.370594418388040125e+01 1.391182267238787773e+01 1.442874240806301896e+04 6.275022106142900000e+13
1.391182267238787773e+01 1.411770116089535065e+01 5.764540996061105943e+03 1.007036017406440000e+14
1.411770116089535065e+01 1.432357964940282713e+01 2.034777119092730572e+03 1.612975517241370000e+14
1.432357964940282713e+01 1.452945813791030183e+01 5.649259885699801771e+02 2.556678368794320000e+14
1.452945813791030183e+01 1.473533662641777653e+01 1.281484101844696397e+02 3.991632812500000000e+14
1.473533662641777653e+01 1.494121511492525123e+01 2.201782486301395281e+01 6.317427272727270000e+14
1.494121511492525123e+01 1.514709360343272593e+01 1.000602418157001683e+00 9.235900000000000000e+14
