# logM_lo logM_hi N Mave
1.278684298039989287e+01 1.299750083137989876e+01 2.404750000000000000e+05 7.707480279031000000e+12
1.299750083137989876e+01 1.320815868235990287e+01 1.408520000000000000e+05 1.251158046247100000e+13
1.320815868235990287e+01 1.341881653333990876e+01 7.960900000000000000e+04 2.029008749010700000e+13
1.341881653333990876e+01 1.362947438431991465e+01 4.251600000000000000e+04 3.284790575312800000e+13
1.362947438431991465e+01 1.384013223529991876e+01 2.120900000000000000e+04 5.322475449101700000e+13
1.384013223529991876e+01 1.405079008627992465e+01 9.595000000000000000e+03 8.623410474205300000e+13
1.405079008627992465e+01 1.426144793725993054e+01 3.802000000000000000e+03 1.388803445554970000e+14
1.426144793725993054e+01 1.447210578823993643e+01 1.294000000000000000e+03 2.219875115919620000e+14
1.447210578823993643e+01 1.468276363921994054e+01 3.330000000000000000e+02 3.552365465465460000e+14
1.468276363921994054e+01 1.489342149019994643e+01 5.100000000000000000e+01 5.654645098039210000e+14
1.489342149019994643e+01 1.510407934117995232e+01 6.000000000000000000e+00 9.267833333333330000e+14
1.510407934117995232e+01 1.531473719215995644e+01 1.000000000000000000e+00 1.405000000000000000e+15
