# logM_lo logM_hi N Mave
1.278684298039989287e+01 1.299750083137989876e+01 9.111480265276195132e+04 7.630848441725000000e+12
1.299750083137989876e+01 1.320815868235990287e+01 4.104057166844223684e+04 1.237730781595400000e+13
1.320815868235990287e+01 1.341881653333990876e+01 1.665550874138834115e+04 1.997265712371300000e+13
1.341881653333990876e+01 1.362947438431991465e+01 5.890687099781258439e+03 3.231634951956000000e+13
1.362947438431991465e+01 1.384013223529991876e+01 1.718611278739306272e+03 5.214569677419300000e+13
1.384013223529991876e+01 1.405079008627992465e+01 3.943401432119469519e+02 8.326352295918300000e+13
1.405079008627992465e+01 1.426144793725993054e+01 5.323929398238812638e+01 1.305992452830180000e+14
1.426144793725993054e+01 1.447210578823993643e+01 3.009790892433184428e+00 2.205933333333330000e+14
