# logM_lo logM_hi N Mave
1.285760631131014620e+01 1.306472599574463800e+01 3.104120000000000000e+05 9.072910811759000000e+12
1.306472599574463800e+01 1.327184568017913158e+01 1.984210000000000000e+05 1.462970619037200000e+13
1.327184568017913158e+01 1.347896536461362516e+01 1.268760000000000000e+05 2.354065057221200000e+13
1.347896536461362516e+01 1.368608504904811696e+01 7.932600000000000000e+04 3.785905797594700000e+13
1.368608504904811696e+01 1.389320473348260876e+01 4.817500000000000000e+04 6.098530129735300000e+13
1.389320473348260876e+01 1.410032441791710234e+01 2.761600000000000000e+04 9.793998348783300000e+13
1.410032441791710234e+01 1.430744410235159592e+01 1.512600000000000000e+04 1.574545147428260000e+14
1.430744410235159592e+01 1.451456378678608772e+01 7.674000000000000000e+03 2.519693719051340000e+14
1.451456378678608772e+01 1.472168347122057952e+01 3.452000000000000000e+03 4.045300926998840000e+14
1.472168347122057952e+01 1.492880315565507310e+01 1.343000000000000000e+03 6.450329411764700000e+14
1.492880315565507310e+01 1.513592284008956668e+01 3.880000000000000000e+02 1.014883118556701000e+15
1.513592284008956668e+01 1.534304252452405848e+01 9.100000000000000000e+01 1.658280219780219000e+15
1.534304252452405848e+01 1.555016220895855028e+01 9.000000000000000000e+00 2.642411111111111000e+15
1.555016220895855028e+01 1.575728189339304386e+01 1.000000000000000000e+00 3.778700000000000000e+15
