# logM_lo logM_hi N Mave
1.285760631131014620e+01 1.306472599574463800e+01 2.957328452409271849e+05 9.057899275535000000e+12
1.306472599574463800e+01 1.327184568017913158e+01 1.825505493193013826e+05 1.461171046574900000e+13
1.327184568017913158e+01 1.347896536461362516e+01 1.116640494880549377e+05 2.350347877652900000e+13
1.347896536461362516e+01 1.368608504904811696e+01 6.588253533497416356e+04 3.781290150403500000e+13
1.368608504904811696e+01 1.389320473348260876e+01 3.747021695729307976e+04 6.073787725931800000e+13
1.389320473348260876e+01 1.410032441791710234e+01 1.990206396301986751e+04 9.769476920750100000e+13
1.410032441791710234e+01 1.430744410235159592e+01 9.676214742272779404e+03 1.567511031696700000e+14
1.430744410235159592e+01 1.451456378678608772e+01 4.268784105465051653e+03 2.512274120131390000e+14
1.451456378678608772e+01 1.472168347122057952e+01 1.587746158718864081e+03 4.027923833543500000e+14
1.472168347122057952e+01 1.492880315565507310e+01 4.663565777512795876e+02 6.420206866952790000e+14
1.492880315565507310e+01 1.513592284008956668e+01 8.104390178122770294e+01 9.988219753086420000e+14
1.513592284008956668e+01 1.534304252452405848e+01 1.400515535915926790e+01 1.639357142857143000e+15
1.534304252452405848e+01 1.555016220895855028e+01 1.000249321366363686e+00 2.702800000000000000e+15
