# logM_lo logM_hi N Mave
1.287399315611879302e+01 1.308029349831285337e+01 2.687283767503452837e+05 9.383199595066000000e+12
1.308029349831285337e+01 1.328659384050691372e+01 1.619373787195768964e+05 1.509471699224700000e+13
1.328659384050691372e+01 1.349289418270097407e+01 9.585932019831069920e+04 2.426483756639400000e+13
1.349289418270097407e+01 1.369919452489503442e+01 5.412783325076162146e+04 3.887025599092000000e+13
1.369919452489503442e+01 1.390549486708909477e+01 2.926580806874141490e+04 6.244925899601700000e+13
1.390549486708909477e+01 1.411179520928315512e+01 1.466629482275616647e+04 9.983471252651000000e+13
1.411179520928315512e+01 1.431809555147721547e+01 6.422955399858373312e+03 1.598748751560540000e+14
1.431809555147721547e+01 1.452439589367127581e+01 2.717381411060795926e+03 2.560978289716180000e+14
1.452439589367127581e+01 1.473069623586533616e+01 8.189164493851505995e+02 4.090368215158920000e+14
1.473069623586533616e+01 1.493699657805939651e+01 2.071619149846148389e+02 6.481665217391300000e+14
1.493699657805939651e+01 1.514329692025345686e+01 3.501903960207997812e+01 1.032385714285714000e+15
1.514329692025345686e+01 1.534959726244751721e+01 6.002436195363097582e+00 1.501983333333333000e+15
