# logM_lo logM_hi N Mave
1.111630848062989863e+01 1.131165614140470232e+01 5.857147337385705905e+05 1.625946027830000000e+11
1.131165614140470232e+01 1.150700380217950602e+01 3.948635596597060212e+05 2.551482588400000000e+11
1.150700380217950602e+01 1.170235146295431150e+01 2.681121647778309416e+05 3.998562630240000000e+11
1.170235146295431150e+01 1.189769912372911520e+01 1.814474502660381258e+05 6.267811090990000000e+11
1.189769912372911520e+01 1.209304678450391890e+01 1.221402083787404554e+05 9.827027202910000000e+11
1.209304678450391890e+01 1.228839444527872260e+01 8.178879318470504950e+04 1.541085256363000000e+12
1.228839444527872260e+01 1.248374210605352630e+01 5.453115232323369855e+04 2.416388398389000000e+12
1.248374210605352630e+01 1.267908976682833178e+01 3.646697010930106626e+04 3.786270057692000000e+12
1.267908976682833178e+01 1.287443742760313548e+01 2.387190211772427938e+04 5.929227901514000000e+12
1.287443742760313548e+01 1.306978508837793918e+01 1.567828189619805562e+04 9.304949189223000000e+12
1.306978508837793918e+01 1.326513274915274287e+01 9.927370371385091858e+03 1.458288690656100000e+13
1.326513274915274287e+01 1.346048040992754835e+01 6.195806293653015018e+03 2.279659260455300000e+13
1.346048040992754835e+01 1.365582807070235205e+01 3.937257335528144267e+03 3.568784933943000000e+13
1.365582807070235205e+01 1.385117573147715575e+01 2.267509294971263898e+03 5.604316806352000000e+13
1.385117573147715575e+01 1.404652339225195945e+01 1.246197817596369305e+03 8.746603130016000000e+13
1.404652339225195945e+01 1.424187105302676315e+01 7.030787251122569614e+02 1.368417780938830000e+14
1.424187105302676315e+01 1.443721871380156685e+01 3.230255830687331695e+02 2.133489473684210000e+14
1.443721871380156685e+01 1.463256637457637233e+01 1.310073317365600758e+02 3.330341221374040000e+14
1.463256637457637233e+01 1.482791403535117603e+01 4.300169594004758267e+01 5.216797674418600000e+14
1.482791403535117603e+01 1.502326169612597973e+01 1.100031987319729687e+01 7.711518181818180000e+14
1.502326169612597973e+01 1.521860935690078520e+01 5.000101405971242308e+00 1.224140000000000000e+15
