# logM_lo logM_hi N Mave
1.280863748054382256e+01 1.301820560651663072e+01 2.985868080124627450e+05 8.112797416070000000e+12
1.301820560651663072e+01 1.322777373248944066e+01 1.886813432832891122e+05 1.314709161068900000e+13
1.322777373248944066e+01 1.343734185846224882e+01 1.181639257326540974e+05 2.128873432491300000e+13
1.343734185846224882e+01 1.364690998443505876e+01 7.114758495028402831e+04 3.446517645060800000e+13
1.364690998443505876e+01 1.385647811040786692e+01 4.166321911919686681e+04 5.575055330744900000e+13
1.385647811040786692e+01 1.406604623638067508e+01 2.349404760046163210e+04 9.015433222307600000e+13
1.406604623638067508e+01 1.427561436235348502e+01 1.217311942238787378e+04 1.455487041001150000e+14
1.427561436235348502e+01 1.448518248832629318e+01 5.944114938954863646e+03 2.349533597304120000e+14
1.448518248832629318e+01 1.469475061429910312e+01 2.511642624266764415e+03 3.808819170984450000e+14
1.469475061429910312e+01 1.490431874027191128e+01 9.146662323214328580e+02 6.103657768052510000e+14
1.490431874027191128e+01 1.511388686624471944e+01 2.851438420855251366e+02 9.776776842105260000e+14
1.511388686624471944e+01 1.532345499221752938e+01 5.401914986401255447e+01 1.536992592592592000e+15
1.532345499221752938e+01 1.553302311819033754e+01 8.002051491864913046e+00 2.329050000000000000e+15
