# logM_lo logM_hi N Mave
1.290560955238827745e+01 1.311032907476886322e+01 2.540805845936088590e+05 1.007081635623800000e+13
1.311032907476886322e+01 1.331504859714944899e+01 1.494071130515713012e+05 1.612908829130100000e+13
1.331504859714944899e+01 1.351976811953003654e+01 8.494950715013913577e+04 2.579295285419000000e+13
1.351976811953003654e+01 1.372448764191062232e+01 4.621190624748608388e+04 4.120790332742600000e+13
1.372448764191062232e+01 1.392920716429120809e+01 2.324953764455010241e+04 6.595722965179300000e+13
1.392920716429120809e+01 1.413392668667179386e+01 1.092549269102589824e+04 1.050453108941890000e+14
1.413392668667179386e+01 1.433864620905237963e+01 4.617067534708529820e+03 1.675282006092250000e+14
1.433864620905237963e+01 1.454336573143296718e+01 1.535261563476540232e+03 2.664564509803920000e+14
1.454336573143296718e+01 1.474808525381355295e+01 4.260990109384514426e+02 4.224030588235290000e+14
1.474808525381355295e+01 1.495280477619413873e+01 1.122200568523950039e+02 6.586730357142850000e+14
1.495280477619413873e+01 1.515752429857472450e+01 1.101666796283680760e+01 1.002839090909090000e+15
