# logM_lo logM_hi N Mave
1.283073236972540521e+01 1.303919575123913432e+01 1.718402132660464849e+05 8.483817679167000000e+12
1.303919575123913432e+01 1.324765913275286522e+01 9.142605765098269330e+04 1.370352165129200000e+13
1.324765913275286522e+01 1.345612251426659434e+01 4.643482167019070039e+04 2.205412011051600000e+13
1.345612251426659434e+01 1.366458589578032345e+01 2.162562398444949940e+04 3.550174249126800000e+13
1.366458589578032345e+01 1.387304927729405435e+01 9.052559397468943644e+03 5.705769663669600000e+13
1.387304927729405435e+01 1.408151265880778347e+01 3.478536885440561946e+03 9.195023766945400000e+13
1.408151265880778347e+01 1.428997604032151258e+01 9.952817054531379881e+02 1.476110876132930000e+14
1.428997604032151258e+01 1.449843942183524348e+01 2.574074416330593635e+02 2.373573540856030000e+14
1.449843942183524348e+01 1.470690280334897260e+01 3.804235883896841131e+01 3.726610526315780000e+14
1.470690280334897260e+01 1.491536618486270172e+01 5.003527277629402192e+00 6.697540000000000000e+14
