# logM_lo logM_hi N Mave
1.285219696582692528e+01 1.305958711753557822e+01 2.871825988738036249e+05 8.949487156684000000e+12
1.305958711753557822e+01 1.326697726924423293e+01 1.770979614028487704e+05 1.442108208018600000e+13
1.326697726924423293e+01 1.347436742095288587e+01 1.067912627846756222e+05 2.322809109650200000e+13
1.347436742095288587e+01 1.368175757266154058e+01 6.259608566600655467e+04 3.737843471450700000e+13
1.368175757266154058e+01 1.388914772437019352e+01 3.496856599277866189e+04 6.006536388008000000e+13
1.388914772437019352e+01 1.409653787607884823e+01 1.844541145608758598e+04 9.683041328534000000e+13
1.409653787607884823e+01 1.430392802778750116e+01 8.750828917095308498e+03 1.550377743342510000e+14
1.430392802778750116e+01 1.451131817949615588e+01 3.669180418159510737e+03 2.481310664479080000e+14
1.451131817949615588e+01 1.471870833120480881e+01 1.323286328602198409e+03 3.971300000000000000e+14
1.471870833120480881e+01 1.492609848291346353e+01 4.007467051699443914e+02 6.327252250000000000e+14
1.492609848291346353e+01 1.513348863462211646e+01 8.211490499854082259e+01 1.006457560975609000e+15
1.513348863462211646e+01 1.534087878633076940e+01 1.101165822514373005e+01 1.581827272727272000e+15
1.534087878633076940e+01 1.554826893803942411e+01 1.000757708326181161e+00 2.723900000000000000e+15
