# logM_lo logM_hi N Mave
1.280820552130574619e+01 1.301779524524045861e+01 3.051304442023215815e+05 8.106905654005000000e+12
1.301779524524045861e+01 1.322738496917517104e+01 1.943769205744529900e+05 1.313461117171900000e+13
1.322738496917517104e+01 1.343697469310988524e+01 1.228443298028951540e+05 2.127459307184100000e+13
1.343697469310988524e+01 1.364656441704459766e+01 7.544296550522730104e+04 3.448057308970000000e+13
1.364656441704459766e+01 1.385615414097931009e+01 4.480517664134558436e+04 5.572650094479600000e+13
1.385615414097931009e+01 1.406574386491402251e+01 2.597538005686518954e+04 9.006665106102800000e+13
1.406574386491402251e+01 1.427533358884873493e+01 1.395944527945861773e+04 1.457550147492620000e+14
1.427533358884873493e+01 1.448492331278344736e+01 7.125996344823684012e+03 2.347160425172460000e+14
1.448492331278344736e+01 1.469451303671815978e+01 3.109478348614778497e+03 3.780664023210830000e+14
1.469451303671815978e+01 1.490410276065287221e+01 1.121006008538665583e+03 6.104856300268090000e+14
1.490410276065287221e+01 1.511369248458758641e+01 3.654860572533688128e+02 9.877277260273970000e+14
1.511369248458758641e+01 1.532328220852229883e+01 8.107926838088252453e+01 1.626455555555555000e+15
1.532328220852229883e+01 1.553287193245701125e+01 8.006002971220206987e+00 2.500600000000000000e+15
1.553287193245701125e+01 1.574246165639172368e+01 1.000596809454112224e+00 3.623500000000000000e+15
