# logM_lo logM_hi N Mave
1.284155974321300420e+01 1.304948175605235328e+01 2.566400000000000000e+05 8.723464715165000000e+12
1.304948175605235328e+01 1.325740376889170413e+01 1.554660000000000000e+05 1.407465742348800000e+13
1.325740376889170413e+01 1.346532578173105321e+01 9.203100000000000000e+04 2.268620681074800000e+13
1.346532578173105321e+01 1.367324779457040407e+01 5.270900000000000000e+04 3.655080470128400000e+13
1.367324779457040407e+01 1.388116980740975315e+01 2.793300000000000000e+04 5.890413120681600000e+13
1.388116980740975315e+01 1.408909182024910223e+01 1.414700000000000000e+04 9.473892316392100000e+13
1.408909182024910223e+01 1.429701383308845308e+01 6.234000000000000000e+03 1.516567869746550000e+14
1.429701383308845308e+01 1.450493584592780216e+01 2.493000000000000000e+03 2.444864821500200000e+14
1.450493584592780216e+01 1.471285785876715302e+01 7.340000000000000000e+02 3.913697820163480000e+14
1.471285785876715302e+01 1.492077987160650210e+01 1.870000000000000000e+02 6.196584491978600000e+14
1.492077987160650210e+01 1.512870188444585295e+01 3.300000000000000000e+01 9.978587878787870000e+14
1.512870188444585295e+01 1.533662389728520203e+01 4.000000000000000000e+00 1.455200000000000000e+15
