# logM_lo logM_hi N Mave
1.284155974321300420e+01 1.304948175605235328e+01 3.017864435551069910e+05 8.739235627672000000e+12
1.304948175605235328e+01 1.325740376889170413e+01 1.912961145229116082e+05 1.410629333731200000e+13
1.325740376889170413e+01 1.346532578173105321e+01 1.204591096786532580e+05 2.276059948289900000e+13
1.346532578173105321e+01 1.367324779457040407e+01 7.432043587700666103e+04 3.670151353189100000e+13
1.367324779457040407e+01 1.388116980740975315e+01 4.413063817386105802e+04 5.910242548137300000e+13
1.388116980740975315e+01 1.408909182024910223e+01 2.500361055680296340e+04 9.524643369810100000e+13
1.408909182024910223e+01 1.429701383308845308e+01 1.364500287427972762e+04 1.535039352226720000e+14
1.429701383308845308e+01 1.450493584592780216e+01 6.650816864857448309e+03 2.468468637803590000e+14
1.450493584592780216e+01 1.471285785876715302e+01 2.986316519481959403e+03 3.961410708291370000e+14
1.471285785876715302e+01 1.492077987160650210e+01 1.095002989806115693e+03 6.361551601097890000e+14
1.492077987160650210e+01 1.512870188444585295e+01 2.914005088324817621e+02 1.011121408934707000e+15
1.512870188444585295e+01 1.533662389728520203e+01 7.607742229310061077e+01 1.645715789473684000e+15
1.533662389728520203e+01 1.554454591012455111e+01 1.000789846723673726e+01 2.485020000000000000e+15
