# logM_lo logM_hi N Mave
1.277723980977034657e+01 1.298837781928182977e+01 2.484381117414877808e+05 7.554073258883000000e+12
1.298837781928182977e+01 1.319951582879331120e+01 1.449912043331612367e+05 1.227717506521200000e+13
1.319951582879331120e+01 1.341065383830479441e+01 8.284295979078389064e+04 1.992796280197300000e+13
1.341065383830479441e+01 1.362179184781627761e+01 4.482241485797397763e+04 3.232762786345500000e+13
1.362179184781627761e+01 1.383292985732775904e+01 2.292460037981386631e+04 5.237970364020000000e+13
1.383292985732775904e+01 1.404406786683924224e+01 1.076839957315699576e+04 8.465025864001400000e+13
1.404406786683924224e+01 1.425520587635072545e+01 4.466205909836722640e+03 1.372395120305820000e+14
1.425520587635072545e+01 1.446634388586220865e+01 1.580070818726441530e+03 2.205525142857140000e+14
1.446634388586220865e+01 1.467748189537369008e+01 4.129948789595624135e+02 3.511037864077670000e+14
1.467748189537369008e+01 1.488861990488517328e+01 1.041860814950229610e+02 5.702321153846150000e+14
1.488861990488517328e+01 1.509975791439665649e+01 1.902548032907835207e+01 9.093142105263150000e+14
