# logM_lo logM_hi N Mave
1.280157120242221680e+01 1.301149264230110525e+01 3.054786559289369616e+05 7.994147083748000000e+12
1.301149264230110525e+01 1.322141408217999548e+01 1.925745911650965863e+05 1.296832975376800000e+13
1.322141408217999548e+01 1.343133552205888392e+01 1.214023859392618615e+05 2.100955524402200000e+13
1.343133552205888392e+01 1.364125696193777415e+01 7.449440788227321173e+04 3.400194685409200000e+13
1.364125696193777415e+01 1.385117840181666260e+01 4.400760916876789270e+04 5.506796650761300000e+13
1.385117840181666260e+01 1.406109984169555105e+01 2.499260659685127757e+04 8.909274602601100000e+13
1.406109984169555105e+01 1.427102128157444128e+01 1.355301254497563059e+04 1.443016068919610000e+14
1.427102128157444128e+01 1.448094272145332972e+01 6.735270024403422212e+03 2.328534557620810000e+14
1.448094272145332972e+01 1.469086416133221995e+01 2.906052373540296230e+03 3.755676265931790000e+14
1.469086416133221995e+01 1.490078560121110840e+01 1.078781054248468308e+03 6.051767810760660000e+14
1.490078560121110840e+01 1.511070704108999863e+01 3.151576366605426642e+02 9.724629841269840000e+14
1.511070704108999863e+01 1.532062848096888708e+01 8.002810695894795856e+01 1.530391250000000000e+15
1.532062848096888708e+01 1.553054992084777552e+01 1.400325770251967228e+01 2.595450000000000000e+15
1.553054992084777552e+01 1.574047136072666575e+01 1.000181936688782525e+00 3.558200000000000000e+15
