# logM_lo logM_hi N Mave
1.290348371620982171e+01 1.310830953039933000e+01 2.853648494072319590e+05 1.002898610058800000e+13
1.310830953039933000e+01 1.331313534458884007e+01 1.724469637754187570e+05 1.607854303605800000e+13
1.331313534458884007e+01 1.351796115877834836e+01 1.005308028374048299e+05 2.570378145060300000e+13
1.351796115877834836e+01 1.372278697296785666e+01 5.723868279135882040e+04 4.112552300464500000e+13
1.372278697296785666e+01 1.392761278715736672e+01 3.019687574387774293e+04 6.566931503739300000e+13
1.392761278715736672e+01 1.413243860134687502e+01 1.487030891322158641e+04 1.049128956698240000e+14
1.413243860134687502e+01 1.433726441553638331e+01 6.423200810133956111e+03 1.677414451047850000e+14
1.433726441553638331e+01 1.454209022972589338e+01 2.461405083862170613e+03 2.667026090501420000e+14
1.454209022972589338e+01 1.474691604391540167e+01 8.251203399205966207e+02 4.228528432563790000e+14
1.474691604391540167e+01 1.495174185810490997e+01 1.803470057093665559e+02 6.759238888888880000e+14
1.495174185810490997e+01 1.515656767229442003e+01 3.304825860046177155e+01 1.057004848484848000e+15
1.515656767229442003e+01 1.536139348648392833e+01 3.003375683000494067e+00 1.615633333333333000e+15
