# logM_lo logM_hi N Mave
1.290348371620982171e+01 1.310830953039933000e+01 2.372815553381246282e+05 1.000925815953400000e+13
1.310830953039933000e+01 1.331313534458884007e+01 1.348249620181590144e+05 1.601565519344100000e+13
1.331313534458884007e+01 1.351796115877834836e+01 7.448718059333165002e+04 2.567126017958300000e+13
1.351796115877834836e+01 1.372278697296785666e+01 3.889102673785260413e+04 4.097925399456100000e+13
1.372278697296785666e+01 1.392761278715736672e+01 1.835450549926385065e+04 6.538149063731900000e+13
1.392761278715736672e+01 1.413243860134687502e+01 7.934226329010104564e+03 1.040771088908560000e+14
1.413243860134687502e+01 1.433726441553638331e+01 2.892891101046552194e+03 1.661505058905050000e+14
1.433726441553638331e+01 1.454209022972589338e+01 9.105038230767650020e+02 2.657699449944990000e+14
1.454209022972589338e+01 1.474691604391540167e+01 1.902196573978307015e+02 4.205343157894730000e+14
1.474691604391540167e+01 1.495174185810490997e+01 4.703859797825975164e+01 6.517444680851060000e+14
1.495174185810490997e+01 1.515656767229442003e+01 2.001115809492735043e+00 1.069700000000000000e+15
