# logM_lo logM_hi N Mave
1.282700422085321712e+01 1.303565400981055689e+01 2.995060000000000000e+05 8.453095567367000000e+12
1.303565400981055689e+01 1.324430379876789488e+01 1.855440000000000000e+05 1.367209335252000000e+13
1.324430379876789488e+01 1.345295358772523464e+01 1.134250000000000000e+05 2.207935901256300000e+13
1.345295358772523464e+01 1.366160337668257441e+01 6.712500000000000000e+04 3.566763874860300000e+13
1.366160337668257441e+01 1.387025316563991240e+01 3.752900000000000000e+04 5.747917607716600000e+13
1.387025316563991240e+01 1.407890295459725216e+01 1.989700000000000000e+04 9.271300035181100000e+13
1.407890295459725216e+01 1.428755274355459193e+01 9.901000000000000000e+03 1.492230683769310000e+14
1.428755274355459193e+01 1.449620253251192992e+01 4.184000000000000000e+03 2.397667447418730000e+14
1.449620253251192992e+01 1.470485232146926968e+01 1.572000000000000000e+03 3.865557124681930000e+14
1.470485232146926968e+01 1.491350211042660945e+01 4.530000000000000000e+02 6.147932671081670000e+14
1.491350211042660945e+01 1.512215189938394744e+01 8.900000000000000000e+01 9.790059550561790000e+14
1.512215189938394744e+01 1.533080168834128720e+01 1.700000000000000000e+01 1.586423529411764000e+15
