# logM_lo logM_hi N Mave
1.290165247397829162e+01 1.310656985027937793e+01 2.121135604887225782e+05 9.962752900833000000e+12
1.310656985027937793e+01 1.331148722658046246e+01 1.184070363579374243e+05 1.595456330362100000e+13
1.331148722658046246e+01 1.351640460288154699e+01 6.298117279603608768e+04 2.548812959979300000e+13
1.351640460288154699e+01 1.372132197918263330e+01 3.139774128213464428e+04 4.076750887078500000e+13
1.372132197918263330e+01 1.392623935548371961e+01 1.402091440709003837e+04 6.518661839361400000e+13
1.392623935548371961e+01 1.413115673178480414e+01 5.432114737970384340e+03 1.038347230968690000e+14
1.413115673178480414e+01 1.433607410808588867e+01 1.840453158214263567e+03 1.642915720524010000e+14
1.433607410808588867e+01 1.454099148438697497e+01 5.418728223116625031e+02 2.604736111111110000e+14
1.454099148438697497e+01 1.474590886068806128e+01 1.012585342720588955e+02 4.255054455445540000e+14
1.474590886068806128e+01 1.495082623698914581e+01 1.903725514535729246e+01 6.548305263157890000e+14
